Symptom,Severity
abdominal pain,High
abnormal menstruation,Medium
acidity,Low
acute liver failure,High
altered sensorium,High
anxiety,Medium
back pain,Medium
belly pain,High
blackheads,Low
bladder discomfort,Medium
blister,Low
blood in sputum,High
bloody stool,High
blurred and distorted vision,Medium
breathlessness,Low
brittle nails,Low
bruising,Low
burning micturition,High
chest pain,Low
chills,Medium
cold hands and feets,Low
coma,High
congestion,Medium
constipation,Medium
continuous feel of urine,Medium
continuous sneezing,Medium
cough,Medium
cramps,Medium
dark urine,Medium
dehydration,High
depression,High
diarrhoea,High
dischromic  patches,Medium
distention of abdomen,Medium
dizziness,Medium
drying and tingling lips,Medium
enlarged thyroid,Medium
excessive hunger,Low
extra marital contacts,Low
family history,Low
fast heart rate,High
fatigue,Medium
fluid overload,High
foul smell of urine,Low
headache,Medium
high fever,High
hip joint pain,Medium
history of alcohol consumption,Low
increased appetite,Medium
indigestion,Low
inflammatory nails,Low
internal itching,Low
irregular sugar level,Medium
irritability,Low
irritation in anus,Low
itching,Medium
joint pain,Medium
knee pain,Medium
lack of concentration,Medium
loss of appetite,Low
loss of balance,Medium
loss of smell,Low
malaise,Medium
mild fever,Low
mood swings,Medium
movement stiffness,Medium
mucoid sputum,Low
muscle pain,Medium
muscle wasting,High
muscle weakness,High
nausea,Medium
neck pain,Medium
nodal skin eruptions,Low
obesity,Low
pain behind the eyes,Low
pain during bowel movements,Low
pain in anal region,Low
painful walking,Medium
palpitations,Medium
passage of gases,Low
patches in throat,Low
phlegm,Low
polyuria,Medium
prominent veins on calf,Low
puffy face and eyes,Medium
pus filled pimples,Low
receiving blood transfusion,High
receiving unsterile injections,High
red sore around nose,Low
red spots over body,Medium
redness of eyes,Low
restlessness,Low
runny nose,Medium
rusty sputum,Low
scurring,High
shivering,Low
silver like dusting,Low
sinus pressure,Low
skin rash,Medium
slurred speech,High
small dents in nails,Low
spinning movements,High
spotting  urination,Low
stiff neck,Medium
stomach bleeding,High
stomach pain,Medium
sunken eyes,Low
sweating,Medium
swelled lymph nodes,Medium
swelling joints,Medium
swelling of stomach,High
swollen blood vessels,Medium
swollen extremeties,Medium
swollen legs,High
throat irritation,High
toxic look (typhos),Low
ulcers on tongue,Medium
visual disturbances,High
vomiting,Medium
watering from eyes,Low
weakness in limbs,Medium
weakness of one body side,High
weight gain,Medium
weight loss,Medium
yellow crust ooze,Low
yellow urine,Low
yellowing of eyes,High
yellowish skin,Medium
